"id","name","types","height","weight","abilities","egg_groups","stats","genus","description"
1,"Bulbasaur","[""poison"", ""grass""]",7.00,69.00,"[""chlorophyll"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 45, ""speed"": 45, ""attack"": 49, ""defense"": 49, ""special-attack"": 65, ""special-defense"": 65}","Seed PokÃ©mon","Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sunâ€™s rays,
the seed grows progressively larger."
2,"Ivysaur","[""poison"", ""grass""]",10.00,130.00,"[""chlorophyll"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 60, ""speed"": 60, ""attack"": 62, ""defense"": 63, ""special-attack"": 80, ""special-defense"": 80}","Seed PokÃ©mon","There is a bud on this PokÃ©monâ€™s back. To support its weight,
Ivysaurâ€™s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
itâ€™s a sign that the bud will bloom into a large flower soon."
3,"Venusaur","[""poison"", ""grass""]",20.00,1000.00,"[""chlorophyll"", ""overgrow""]","[""plant"", ""monster""]","{""hp"": 80, ""speed"": 80, ""attack"": 82, ""defense"": 83, ""special-attack"": 100, ""special-defense"": 100}","Seed PokÃ©mon","There is a large flower on Venusaurâ€™s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flowerâ€™s aroma soothes the emotions of people."
4,"Charmander","[""fire""]",6.00,85.00,"[""solar-power"", ""blaze""]","[""dragon"", ""monster""]","{""hp"": 39, ""speed"": 65, ""attack"": 52, ""defense"": 43, ""special-attack"": 60, ""special-defense"": 50}","Lizard PokÃ©mon","The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the PokÃ©mon becomes enraged,
the flame burns fiercely."
5,"Charmeleon","[""fire""]",11.00,190.00,"[""solar-power"", ""blaze""]","[""dragon"", ""monster""]","{""hp"": 58, ""speed"": 80, ""attack"": 64, ""defense"": 58, ""special-attack"": 80, ""special-defense"": 65}","Flame PokÃ©mon","Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
6,"Charizard","[""flying"", ""fire""]",17.00,905.00,"[""solar-power"", ""blaze""]","[""dragon"", ""monster""]","{""hp"": 78, ""speed"": 100, ""attack"": 84, ""defense"": 78, ""special-attack"": 109, ""special-defense"": 85}","Flame PokÃ©mon","Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
7,"Squirtle","[""water""]",5.00,90.00,"[""rain-dish"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 44, ""speed"": 43, ""attack"": 48, ""defense"": 65, ""special-attack"": 50, ""special-defense"": 64}","Tiny Turtle PokÃ©mon","Squirtleâ€™s shell is not merely used for protection.
The shellâ€™s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this PokÃ©mon to swim at high speeds."
8,"Wartortle","[""water""]",10.00,225.00,"[""rain-dish"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 59, ""speed"": 58, ""attack"": 63, ""defense"": 80, ""special-attack"": 65, ""special-defense"": 80}","Turtle PokÃ©mon","Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this PokÃ©monâ€™s
toughness as a battler."
9,"Blastoise","[""water""]",16.00,855.00,"[""rain-dish"", ""torrent""]","[""water1"", ""monster""]","{""hp"": 79, ""speed"": 78, ""attack"": 83, ""defense"": 100, ""special-attack"": 85, ""special-defense"": 105}","Shellfish PokÃ©mon","Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
10,"Caterpie","[""bug""]",3.00,29.00,"[""run-away"", ""shield-dust""]","[""bug""]","{""hp"": 45, ""speed"": 45, ""attack"": 30, ""defense"": 35, ""special-attack"": 20, ""special-defense"": 20}","Worm PokÃ©mon","Itâ€™s easy to catch, and it grows quickly, making
it one of the top recommendations for novice
PokÃ©mon Trainers."
